Supplier_Name,Part_Number,Price_USD,PO_Number,PO_Created_Date,Original_Promise_Date,Supplier_Delivered_Date,Delivery_Speed_Days,Delay_Days,On_Time_Delivery,Year
Supplier B,PART-0033,263.71,PO-405373,2025-08-19,2025-09-03,2025-09-08,20,5,0,2025
Supplier A,PART-0031,129.52,PO-405374,2025-10-28,2025-11-01,2025-11-01,4,0,1,2025
Supplier C,PART-0085,72.69,PO-405375,2025-12-27,2026-01-02,2025-12-30,3,-3,1,2025
Supplier B,PART-0100,263.38,PO-405376,2024-10-05,2024-10-19,2024-10-23,18,4,0,2024
Supplier C,PART-0059,267.36,PO-405377,2025-07-29,2025-08-16,2025-08-22,24,6,0,2025
Supplier B,PART-0093,373.13,PO-405378,2025-04-22,2025-05-16,2025-05-22,30,6,0,2025
Supplier B,PART-0054,64.41,PO-405379,2025-12-14,2025-12-17,2025-12-13,-1,-4,1,2025
Supplier A,PART-0085,223.18,PO-405380,2025-12-23,2026-01-09,2026-01-13,21,4,0,2025
Supplier A,PART-0078,356.91,PO-405381,2024-06-25,2024-07-14,2024-07-24,29,10,0,2024
Supplier C,PART-0083,139.56,PO-405382,2025-12-20,2025-12-23,2025-12-23,3,0,1,2025
Supplier C,PART-0097,103.07,PO-405383,2024-06-24,2024-07-01,2024-07-01,7,0,1,2024
Supplier C,PART-0039,399.24,PO-405384,2025-01-15,2025-02-05,2025-02-09,25,4,0,2025
Supplier B,PART-0079,193.28,PO-405385,2025-04-09,2025-05-03,2025-05-16,37,13,0,2025
Supplier B,PART-0076,169.54,PO-405386,2024-02-13,2024-03-09,2024-03-24,40,15,0,2024
Supplier A,PART-0021,86.26,PO-405387,2024-06-02,2024-06-09,2024-06-08,6,-1,1,2024
Supplier A,PART-0083,319.56,PO-405388,2025-07-03,2025-07-22,2025-07-30,27,8,0,2025
Supplier C,PART-0047,186.92,PO-405389,2025-04-06,2025-04-17,2025-04-23,17,6,0,2025
Supplier A,PART-0032,125.4,PO-405390,2024-10-31,2024-11-04,2024-11-01,1,-3,1,2024
Supplier C,PART-0082,51.15,PO-405391,2025-10-23,2025-10-27,2025-10-26,3,-1,1,2025
Supplier A,PART-0001,71.94,PO-405392,2025-11-12,2025-11-16,2025-11-12,0,-4,1,2025
Supplier B,PART-0028,204.97,PO-405393,2024-05-28,2024-06-16,2024-06-22,25,6,0,2024
Supplier B,PART-0058,86.82,PO-405394,2024-09-21,2024-09-26,2024-09-23,2,-3,1,2024
Supplier B,PART-0004,326.66,PO-405395,2024-09-07,2024-09-23,2024-09-27,20,4,0,2024
Supplier A,PART-0079,383.71,PO-405396,2024-05-15,2024-06-07,2024-06-19,35,12,0,2024
Supplier B,PART-0061,120.5,PO-405397,2025-06-27,2025-06-30,2025-06-25,-2,-5,1,2025
Supplier B,PART-0073,373.56,PO-405398,2024-07-25,2024-08-06,2024-08-21,27,15,0,2024
Supplier B,PART-0055,107.49,PO-405399,2024-03-17,2024-03-21,2024-03-21,4,0,1,2024
Supplier A,PART-0023,68.23,PO-405400,2024-05-04,2024-05-08,2024-05-03,-1,-5,1,2024
Supplier C,PART-0062,231.72,PO-405401,2024-08-07,2024-08-31,2024-09-01,25,1,0,2024
Supplier C,PART-0064,382.84,PO-405402,2024-05-02,2024-05-16,2024-05-18,16,2,0,2024
Supplier C,PART-0086,121.26,PO-405403,2024-01-12,2024-01-19,2024-01-19,7,0,1,2024
Supplier C,PART-0009,229.53,PO-405404,2025-02-08,2025-02-28,2025-03-15,35,15,0,2025
Supplier B,PART-0027,243.31,PO-405405,2025-09-25,2025-10-06,2025-10-16,21,10,0,2025
Supplier C,PART-0067,128.11,PO-405406,2025-05-13,2025-05-19,2025-05-15,2,-4,1,2025
Supplier C,PART-0033,176.43,PO-405407,2024-01-10,2024-01-22,2024-01-28,18,6,0,2024
Supplier A,PART-0045,245.49,PO-405408,2025-03-31,2025-04-10,2025-04-24,24,14,0,2025
Supplier B,PART-0080,370.68,PO-405409,2024-01-07,2024-01-23,2024-01-25,18,2,0,2024
Supplier C,PART-0026,292.19,PO-405410,2024-07-29,2024-08-14,2024-08-27,29,13,0,2024
Supplier B,PART-0044,63.5,PO-405411,2024-02-16,2024-02-21,2024-02-19,3,-2,1,2024
Supplier B,PART-0032,351.8,PO-405412,2024-04-03,2024-04-18,2024-04-22,19,4,0,2024
Supplier B,PART-0059,94.03,PO-405413,2024-06-17,2024-06-21,2024-06-18,1,-3,1,2024
Supplier B,PART-0010,216.25,PO-405414,2025-09-27,2025-10-21,2025-10-30,33,9,0,2025
Supplier B,PART-0044,86.31,PO-405415,2025-02-08,2025-02-11,2025-02-06,-2,-5,1,2025
Supplier B,PART-0002,191.36,PO-405416,2024-11-11,2024-11-22,2024-11-23,12,1,0,2024
Supplier B,PART-0024,290.24,PO-405417,2025-08-27,2025-09-12,2025-09-16,20,4,0,2025
Supplier B,PART-0054,85.13,PO-405418,2025-09-07,2025-09-10,2025-09-08,1,-2,1,2025
Supplier C,PART-0082,142.33,PO-405419,2024-05-27,2024-05-31,2024-05-28,1,-3,1,2024
Supplier A,PART-0005,106.77,PO-405420,2025-01-29,2025-02-05,2025-02-02,4,-3,1,2025
Supplier B,PART-0023,373.21,PO-405421,2025-08-25,2025-09-16,2025-09-30,36,14,0,2025
Supplier C,PART-0042,395.76,PO-405422,2025-08-29,2025-09-15,2025-09-18,20,3,0,2025
Supplier A,PART-0071,313.53,PO-405423,2024-04-18,2024-05-11,2024-05-22,34,11,0,2024
Supplier A,PART-0008,129.33,PO-405424,2025-03-08,2025-03-14,2025-03-10,2,-4,1,2025
Supplier B,PART-0100,366.22,PO-405425,2025-02-03,2025-02-14,2025-02-17,14,3,0,2025
Supplier A,PART-0011,149.58,PO-405426,2024-02-19,2024-02-26,2024-02-23,4,-3,1,2024
Supplier C,PART-0008,245.93,PO-405427,2024-01-15,2024-02-01,2024-02-09,25,8,0,2024
Supplier C,PART-0097,79.41,PO-405428,2025-09-24,2025-09-28,2025-09-26,2,-2,1,2025
Supplier B,PART-0010,173.62,PO-405429,2025-01-03,2025-01-18,2025-02-02,30,15,0,2025
Supplier C,PART-0041,197.37,PO-405430,2024-11-11,2024-11-28,2024-12-07,26,9,0,2024
Supplier B,PART-0005,266.38,PO-405431,2024-10-03,2024-10-24,2024-11-02,30,9,0,2024
Supplier C,PART-0037,395.22,PO-405432,2024-10-30,2024-11-09,2024-11-22,23,13,0,2024
Supplier A,PART-0098,334.29,PO-405433,2024-05-03,2024-05-14,2024-05-26,23,12,0,2024
Supplier B,PART-0054,82.67,PO-405434,2025-05-07,2025-05-10,2025-05-05,-2,-5,1,2025
Supplier A,PART-0074,180.95,PO-405435,2024-12-25,2025-01-08,2025-01-18,24,10,0,2024
Supplier C,PART-0083,147.19,PO-405436,2024-08-17,2024-08-23,2024-08-20,3,-3,1,2024
Supplier A,PART-0004,94.92,PO-405437,2024-06-05,2024-06-08,2024-06-06,1,-2,1,2024
Supplier C,PART-0013,321.17,PO-405438,2024-08-23,2024-09-02,2024-09-09,17,7,0,2024
Supplier B,PART-0030,295.99,PO-405439,2024-04-11,2024-04-22,2024-04-23,12,1,0,2024
Supplier C,PART-0015,397.07,PO-405440,2024-07-31,2024-08-16,2024-08-19,19,3,0,2024
Supplier B,PART-0064,85.27,PO-405441,2025-11-14,2025-11-18,2025-11-13,-1,-5,1,2025
Supplier B,PART-0064,138.74,PO-405442,2025-12-10,2025-12-16,2025-12-16,6,0,1,2025
Supplier B,PART-0015,274.18,PO-405443,2024-03-04,2024-03-21,2024-03-25,21,4,0,2024
Supplier B,PART-0065,135.89,PO-405444,2025-06-05,2025-06-08,2025-06-05,0,-3,1,2025
Supplier B,PART-0044,93.71,PO-405445,2025-07-19,2025-07-24,2025-07-20,1,-4,1,2025
Supplier C,PART-0042,383.55,PO-405446,2025-03-31,2025-04-13,2025-04-15,15,2,0,2025
Supplier A,PART-0032,132.43,PO-405447,2025-04-10,2025-04-17,2025-04-15,5,-2,1,2025
Supplier C,PART-0064,174.38,PO-405448,2024-09-10,2024-09-25,2024-10-08,28,13,0,2024
Supplier B,PART-0079,304.19,PO-405449,2025-07-21,2025-08-12,2025-08-26,36,14,0,2025
Supplier B,PART-0087,189.02,PO-405450,2024-07-31,2024-08-14,2024-08-24,24,10,0,2024
Supplier C,PART-0037,209.64,PO-405451,2024-03-05,2024-03-16,2024-03-28,23,12,0,2024
Supplier C,PART-0041,362.86,PO-405452,2025-10-22,2025-11-09,2025-11-14,23,5,0,2025
Supplier C,PART-0047,298.8,PO-405453,2025-02-22,2025-03-14,2025-03-22,28,8,0,2025
Supplier C,PART-0063,274.49,PO-405454,2025-07-18,2025-08-10,2025-08-12,25,2,0,2025
Supplier B,PART-0082,344.0,PO-405455,2025-02-13,2025-03-02,2025-03-09,24,7,0,2025
Supplier C,PART-0031,314.71,PO-405456,2025-03-28,2025-04-16,2025-04-25,28,9,0,2025
Supplier C,PART-0039,185.51,PO-405457,2025-04-28,2025-05-14,2025-05-26,28,12,0,2025
Supplier B,PART-0061,140.46,PO-405458,2024-02-04,2024-02-10,2024-02-05,1,-5,1,2024
Supplier C,PART-0067,111.68,PO-405459,2024-02-29,2024-03-06,2024-03-04,4,-2,1,2024
Supplier A,PART-0041,307.41,PO-405460,2024-12-29,2025-01-09,2025-01-11,13,2,0,2024
Supplier B,PART-0072,374.97,PO-405461,2024-12-02,2024-12-21,2025-01-02,31,12,0,2024
Supplier C,PART-0022,240.82,PO-405462,2024-03-17,2024-04-04,2024-04-05,19,1,0,2024
Supplier C,PART-0069,148.99,PO-405463,2025-09-24,2025-09-29,2025-09-29,5,0,1,2025
Supplier B,PART-0060,63.31,PO-405464,2025-02-13,2025-02-20,2025-02-15,2,-5,1,2025
Supplier B,PART-0006,176.7,PO-405465,2025-12-23,2026-01-02,2026-01-03,11,1,0,2025
Supplier A,PART-0082,261.26,PO-405466,2024-10-04,2024-10-27,2024-11-07,34,11,0,2024
Supplier B,PART-0061,137.61,PO-405467,2024-08-22,2024-08-26,2024-08-26,4,0,1,2024
Supplier B,PART-0063,54.3,PO-405468,2024-08-16,2024-08-20,2024-08-17,1,-3,1,2024
Supplier C,PART-0017,247.1,PO-405469,2025-11-25,2025-12-08,2025-12-12,17,4,0,2025
Supplier C,PART-0061,344.71,PO-405470,2024-07-21,2024-08-09,2024-08-15,25,6,0,2024
Supplier B,PART-0045,96.38,PO-405471,2025-04-16,2025-04-19,2025-04-16,0,-3,1,2025
Supplier B,PART-0038,132.07,PO-405472,2024-10-01,2024-10-04,2024-10-03,2,-1,1,2024
Supplier C,PART-0099,98.89,PO-405473,2025-02-23,2025-02-28,2025-02-25,2,-3,1,2025
Supplier A,PART-0083,339.73,PO-405474,2025-01-25,2025-02-11,2025-02-25,31,14,0,2025
Supplier B,PART-0083,263.1,PO-405475,2024-01-01,2024-01-13,2024-01-18,17,5,0,2024
Supplier C,PART-0091,89.63,PO-405476,2024-12-27,2025-01-02,2024-12-31,4,-2,1,2024
Supplier C,PART-0075,136.62,PO-405477,2025-03-01,2025-03-05,2025-03-03,2,-2,1,2025
Supplier C,PART-0018,299.8,PO-405478,2025-07-20,2025-08-11,2025-08-21,32,10,0,2025
Supplier A,PART-0050,221.47,PO-405479,2024-09-18,2024-10-03,2024-10-07,19,4,0,2024
Supplier A,PART-0041,218.52,PO-405480,2024-02-15,2024-03-03,2024-03-11,25,8,0,2024
Supplier A,PART-0057,343.21,PO-405481,2024-06-12,2024-06-30,2024-07-01,19,1,0,2024
Supplier A,PART-0008,138.66,PO-405482,2025-06-19,2025-06-23,2025-06-22,3,-1,1,2025
Supplier B,PART-0047,50.78,PO-405483,2025-02-04,2025-02-10,2025-02-09,5,-1,1,2025
Supplier B,PART-0100,206.2,PO-405484,2025-10-26,2025-11-11,2025-11-12,17,1,0,2025
Supplier C,PART-0060,306.57,PO-405485,2024-08-14,2024-08-25,2024-09-08,25,14,0,2024
Supplier B,PART-0022,280.15,PO-405486,2025-10-13,2025-10-23,2025-10-29,16,6,0,2025
Supplier A,PART-0003,128.72,PO-405487,2024-01-07,2024-01-12,2024-01-08,1,-4,1,2024
Supplier B,PART-0085,391.33,PO-405488,2024-11-06,2024-11-30,2024-12-05,29,5,0,2024
Supplier B,PART-0026,300.32,PO-405489,2024-01-14,2024-02-06,2024-02-08,25,2,0,2024
Supplier A,PART-0053,312.41,PO-405490,2025-10-20,2025-11-14,2025-11-27,38,13,0,2025
Supplier B,PART-0087,369.53,PO-405491,2025-04-27,2025-05-18,2025-06-02,36,15,0,2025
Supplier B,PART-0060,75.07,PO-405492,2024-02-11,2024-02-15,2024-02-10,-1,-5,1,2024
Supplier A,PART-0041,245.09,PO-405493,2024-02-15,2024-03-02,2024-03-03,17,1,0,2024
Supplier A,PART-0001,100.21,PO-405494,2024-08-16,2024-08-22,2024-08-20,4,-2,1,2024
Supplier A,PART-0014,52.1,PO-405495,2025-03-19,2025-03-24,2025-03-20,1,-4,1,2025
Supplier B,PART-0071,294.02,PO-405496,2025-02-08,2025-02-22,2025-02-24,16,2,0,2025
Supplier A,PART-0021,149.59,PO-405497,2024-01-02,2024-01-08,2024-01-03,1,-5,1,2024
Supplier C,PART-0017,246.24,PO-405498,2024-01-14,2024-02-03,2024-02-11,28,8,0,2024
Supplier C,PART-0019,397.47,PO-405499,2024-01-29,2024-02-08,2024-02-17,19,9,0,2024
Supplier C,PART-0076,105.15,PO-405500,2024-04-02,2024-04-09,2024-04-07,5,-2,1,2024
Supplier B,PART-0002,391.04,PO-405501,2024-10-13,2024-10-25,2024-11-04,22,10,0,2024
Supplier B,PART-0074,351.06,PO-405502,2024-06-16,2024-07-11,2024-07-22,36,11,0,2024
Supplier A,PART-0041,284.22,PO-405503,2025-02-13,2025-02-24,2025-03-05,20,9,0,2025
Supplier A,PART-0007,64.1,PO-405504,2025-01-13,2025-01-17,2025-01-12,-1,-5,1,2025
Supplier B,PART-0012,264.91,PO-405505,2025-01-11,2025-01-24,2025-01-31,20,7,0,2025
Supplier C,PART-0043,335.36,PO-405506,2024-04-11,2024-05-04,2024-05-11,30,7,0,2024
Supplier A,PART-0095,232.4,PO-405507,2025-03-05,2025-03-23,2025-03-29,24,6,0,2025
Supplier A,PART-0003,138.32,PO-405508,2025-03-01,2025-03-08,2025-03-05,4,-3,1,2025
Supplier B,PART-0044,64.15,PO-405509,2025-06-23,2025-06-30,2025-06-26,3,-4,1,2025
Supplier C,PART-0093,70.34,PO-405510,2024-07-19,2024-07-22,2024-07-17,-2,-5,1,2024
Supplier A,PART-0061,213.17,PO-405511,2025-06-26,2025-07-10,2025-07-18,22,8,0,2025
Supplier C,PART-0076,117.42,PO-405512,2024-06-10,2024-06-13,2024-06-11,1,-2,1,2024
Supplier B,PART-0050,110.67,PO-405513,2024-01-10,2024-01-17,2024-01-13,3,-4,1,2024
Supplier A,PART-0031,109.6,PO-405514,2025-09-07,2025-09-13,2025-09-09,2,-4,1,2025
Supplier C,PART-0047,176.65,PO-405515,2024-10-06,2024-10-21,2024-11-04,29,14,0,2024
Supplier C,PART-0048,239.5,PO-405516,2024-11-27,2024-12-10,2024-12-14,17,4,0,2024
Supplier B,PART-0026,325.2,PO-405517,2025-04-25,2025-05-16,2025-05-24,29,8,0,2025
Supplier A,PART-0029,140.14,PO-405518,2024-11-02,2024-11-05,2024-10-31,-2,-5,1,2024
Supplier C,PART-0081,75.54,PO-405519,2024-09-17,2024-09-21,2024-09-20,3,-1,1,2024
Supplier C,PART-0018,290.7,PO-405520,2024-03-19,2024-03-31,2024-04-07,19,7,0,2024
Supplier B,PART-0100,291.42,PO-405521,2025-05-03,2025-05-20,2025-06-01,29,12,0,2025
Supplier A,PART-0033,73.8,PO-405522,2025-09-21,2025-09-25,2025-09-23,2,-2,1,2025
Supplier A,PART-0062,395.93,PO-405523,2025-06-08,2025-06-30,2025-07-04,26,4,0,2025
Supplier B,PART-0100,350.7,PO-405524,2024-05-05,2024-05-26,2024-06-08,34,13,0,2024
Supplier B,PART-0096,315.25,PO-405525,2025-05-04,2025-05-23,2025-05-29,25,6,0,2025
Supplier A,PART-0061,194.43,PO-405526,2025-09-22,2025-10-17,2025-10-18,26,1,0,2025
Supplier C,PART-0085,98.7,PO-405527,2024-12-30,2025-01-03,2024-12-30,0,-4,1,2024
Supplier C,PART-0060,172.93,PO-405528,2025-10-01,2025-10-17,2025-10-19,18,2,0,2025
Supplier C,PART-0018,394.64,PO-405529,2025-12-06,2025-12-22,2025-12-23,17,1,0,2025
Supplier C,PART-0046,226.82,PO-405530,2024-08-20,2024-09-01,2024-09-10,21,9,0,2024
Supplier A,PART-0037,238.14,PO-405531,2025-12-10,2025-12-24,2025-12-26,16,2,0,2025
Supplier C,PART-0075,69.83,PO-405532,2025-01-10,2025-01-16,2025-01-11,1,-5,1,2025
Supplier B,PART-0076,281.08,PO-405533,2024-06-10,2024-06-30,2024-07-09,29,9,0,2024
Supplier C,PART-0057,233.25,PO-405534,2024-05-23,2024-06-02,2024-06-05,13,3,0,2024
Supplier A,PART-0067,234.98,PO-405535,2024-05-11,2024-06-05,2024-06-16,36,11,0,2024
Supplier A,PART-0050,369.55,PO-405536,2025-01-15,2025-01-25,2025-02-08,24,14,0,2025
Supplier B,PART-0062,99.7,PO-405537,2025-09-19,2025-09-26,2025-09-24,5,-2,1,2025
Supplier A,PART-0057,269.6,PO-405538,2025-10-11,2025-10-30,2025-11-12,32,13,0,2025
Supplier C,PART-0099,72.67,PO-405539,2024-08-31,2024-09-07,2024-09-06,6,-1,1,2024
Supplier C,PART-0028,398.71,PO-405540,2024-05-11,2024-05-26,2024-06-05,25,10,0,2024
Supplier A,PART-0051,252.24,PO-405541,2025-03-07,2025-03-26,2025-04-10,34,15,0,2025
Supplier B,PART-0089,163.36,PO-405542,2025-05-26,2025-06-17,2025-06-27,32,10,0,2025
Supplier A,PART-0035,272.27,PO-405543,2024-07-23,2024-08-11,2024-08-14,22,3,0,2024
Supplier C,PART-0036,179.9,PO-405544,2025-11-09,2025-11-20,2025-11-27,18,7,0,2025
Supplier B,PART-0081,351.23,PO-405545,2024-05-11,2024-06-04,2024-06-17,37,13,0,2024
Supplier B,PART-0071,308.58,PO-405546,2025-08-04,2025-08-25,2025-09-06,33,12,0,2025
Supplier B,PART-0048,120.58,PO-405547,2025-03-30,2025-04-06,2025-04-02,3,-4,1,2025
Supplier B,PART-0020,279.45,PO-405548,2025-04-17,2025-05-07,2025-05-09,22,2,0,2025
Supplier B,PART-0064,121.42,PO-405549,2024-02-13,2024-02-19,2024-02-15,2,-4,1,2024
Supplier A,PART-0083,175.41,PO-405550,2025-01-16,2025-02-02,2025-02-10,25,8,0,2025
Supplier B,PART-0051,114.8,PO-405551,2024-08-19,2024-08-25,2024-08-24,5,-1,1,2024
Supplier C,PART-0016,235.94,PO-405552,2025-07-18,2025-08-03,2025-08-04,17,1,0,2025
Supplier B,PART-0026,273.0,PO-405553,2025-06-17,2025-07-06,2025-07-13,26,7,0,2025
Supplier C,PART-0090,133.94,PO-405554,2025-11-10,2025-11-14,2025-11-12,2,-2,1,2025
Supplier A,PART-0087,204.14,PO-405555,2024-01-28,2024-02-13,2024-02-26,29,13,0,2024
Supplier A,PART-0027,72.73,PO-405556,2024-12-23,2024-12-29,2024-12-29,6,0,1,2024
Supplier A,PART-0049,315.3,PO-405557,2024-09-02,2024-09-13,2024-09-26,24,13,0,2024
Supplier B,PART-0097,301.65,PO-405558,2024-08-03,2024-08-21,2024-09-04,32,14,0,2024
Supplier B,PART-0067,346.53,PO-405559,2025-05-16,2025-06-03,2025-06-10,25,7,0,2025
Supplier C,PART-0087,118.06,PO-405560,2024-07-28,2024-08-02,2024-07-30,2,-3,1,2024
Supplier C,PART-0093,88.12,PO-405561,2025-06-24,2025-06-29,2025-06-28,4,-1,1,2025
Supplier C,PART-0004,257.66,PO-405562,2025-06-09,2025-06-22,2025-06-28,19,6,0,2025
Supplier B,PART-0022,215.08,PO-405563,2025-11-12,2025-12-07,2025-12-20,38,13,0,2025
Supplier B,PART-0051,123.47,PO-405564,2025-04-28,2025-05-04,2025-05-04,6,0,1,2025
Supplier B,PART-0024,304.89,PO-405565,2025-11-01,2025-11-25,2025-12-03,32,8,0,2025
Supplier B,PART-0064,57.78,PO-405566,2024-07-21,2024-07-24,2024-07-22,1,-2,1,2024
Supplier C,PART-0009,361.81,PO-405567,2024-01-05,2024-01-22,2024-01-29,24,7,0,2024
Supplier C,PART-0031,199.19,PO-405568,2025-03-28,2025-04-20,2025-04-29,32,9,0,2025
Supplier B,PART-0081,318.6,PO-405569,2025-08-10,2025-09-03,2025-09-10,31,7,0,2025
Supplier A,PART-0079,300.26,PO-405570,2024-08-15,2024-09-03,2024-09-13,29,10,0,2024
Supplier C,PART-0003,242.72,PO-405571,2024-12-22,2025-01-01,2025-01-10,19,9,0,2024
Supplier B,PART-0022,376.76,PO-405572,2024-09-28,2024-10-15,2024-10-17,19,2,0,2024
Supplier B,PART-0021,299.85,PO-405573,2025-12-29,2026-01-15,2026-01-22,24,7,0,2025
Supplier C,PART-0099,141.97,PO-405574,2024-08-15,2024-08-21,2024-08-18,3,-3,1,2024
Supplier A,PART-0033,133.3,PO-405575,2024-12-09,2024-12-14,2024-12-14,5,0,1,2024
Supplier C,PART-0079,50.62,PO-405576,2024-11-12,2024-11-16,2024-11-14,2,-2,1,2024
Supplier A,PART-0085,169.62,PO-405577,2024-09-13,2024-09-26,2024-10-08,25,12,0,2024
Supplier C,PART-0081,84.97,PO-405578,2024-03-13,2024-03-20,2024-03-15,2,-5,1,2024
Supplier C,PART-0045,227.2,PO-405579,2024-12-12,2024-12-22,2025-01-03,22,12,0,2024
Supplier C,PART-0061,350.6,PO-405580,2024-11-20,2024-12-07,2024-12-09,19,2,0,2024
Supplier C,PART-0048,282.7,PO-405581,2024-09-17,2024-10-08,2024-10-18,31,10,0,2024
Supplier A,PART-0056,186.95,PO-405582,2025-07-12,2025-08-01,2025-08-03,22,2,0,2025
Supplier B,PART-0100,162.33,PO-405583,2025-09-19,2025-10-11,2025-10-25,36,14,0,2025
Supplier B,PART-0065,52.37,PO-405584,2024-11-13,2024-11-18,2024-11-13,0,-5,1,2024
Supplier B,PART-0068,362.9,PO-405585,2025-04-17,2025-05-02,2025-05-07,20,5,0,2025
Supplier A,PART-0068,272.02,PO-405586,2025-06-15,2025-07-04,2025-07-07,22,3,0,2025
Supplier B,PART-0073,324.67,PO-405587,2024-09-07,2024-09-29,2024-10-07,30,8,0,2024
Supplier B,PART-0049,68.5,PO-405588,2025-04-24,2025-04-28,2025-04-26,2,-2,1,2025
Supplier C,PART-0027,385.42,PO-405589,2025-05-01,2025-05-11,2025-05-23,22,12,0,2025
Supplier B,PART-0066,92.11,PO-405590,2024-08-16,2024-08-22,2024-08-21,5,-1,1,2024
Supplier B,PART-0083,268.6,PO-405591,2025-02-19,2025-03-02,2025-03-11,20,9,0,2025
Supplier A,PART-0050,266.8,PO-405592,2024-10-14,2024-10-25,2024-11-05,22,11,0,2024
Supplier B,PART-0068,355.18,PO-405593,2025-09-01,2025-09-21,2025-09-30,29,9,0,2025
Supplier A,PART-0081,319.0,PO-405594,2024-03-25,2024-04-11,2024-04-12,18,1,0,2024
Supplier C,PART-0043,196.74,PO-405595,2025-06-29,2025-07-09,2025-07-24,25,15,0,2025
Supplier B,PART-0024,347.53,PO-405596,2024-10-08,2024-10-22,2024-10-23,15,1,0,2024
Supplier B,PART-0072,309.15,PO-405597,2025-11-13,2025-12-04,2025-12-16,33,12,0,2025
Supplier C,PART-0038,318.07,PO-405598,2024-11-16,2024-12-11,2024-12-25,39,14,0,2024
Supplier B,PART-0015,336.44,PO-405599,2024-04-20,2024-05-05,2024-05-11,21,6,0,2024
Supplier C,PART-0061,173.37,PO-405600,2025-10-26,2025-11-05,2025-11-14,19,9,0,2025
Supplier B,PART-0089,177.86,PO-405601,2025-04-17,2025-05-05,2025-05-13,26,8,0,2025
Supplier C,PART-0046,274.4,PO-405602,2024-05-09,2024-05-20,2024-05-26,17,6,0,2024
Supplier A,PART-0008,145.22,PO-405603,2024-10-18,2024-10-23,2024-10-20,2,-3,1,2024
Supplier B,PART-0080,302.49,PO-405604,2024-03-27,2024-04-14,2024-04-25,29,11,0,2024
Supplier B,PART-0092,272.01,PO-405605,2024-05-13,2024-05-25,2024-06-08,26,14,0,2024
Supplier C,PART-0095,71.13,PO-405606,2024-01-10,2024-01-17,2024-01-15,5,-2,1,2024
Supplier B,PART-0061,68.25,PO-405607,2024-10-07,2024-10-11,2024-10-07,0,-4,1,2024
Supplier C,PART-0053,313.7,PO-405608,2024-02-19,2024-03-05,2024-03-18,28,13,0,2024
Supplier C,PART-0022,219.75,PO-405609,2024-06-25,2024-07-18,2024-07-24,29,6,0,2024
Supplier A,PART-0026,144.35,PO-405610,2024-03-30,2024-04-04,2024-04-03,4,-1,1,2024
Supplier B,PART-0073,364.33,PO-405611,2025-08-21,2025-09-03,2025-09-05,15,2,0,2025
Supplier B,PART-0014,343.85,PO-405612,2025-08-27,2025-09-07,2025-09-21,25,14,0,2025
Supplier B,PART-0080,328.49,PO-405613,2025-10-29,2025-11-14,2025-11-18,20,4,0,2025
Supplier C,PART-0079,79.12,PO-405614,2025-01-10,2025-01-16,2025-01-12,2,-4,1,2025
Supplier A,PART-0020,59.71,PO-405615,2024-04-25,2024-04-28,2024-04-28,3,0,1,2024
Supplier A,PART-0077,275.36,PO-405616,2024-07-15,2024-08-06,2024-08-19,35,13,0,2024
Supplier B,PART-0056,82.62,PO-405617,2025-02-08,2025-02-13,2025-02-10,2,-3,1,2025
Supplier C,PART-0066,309.24,PO-405618,2025-01-11,2025-01-25,2025-02-04,24,10,0,2025
Supplier B,PART-0092,304.02,PO-405619,2024-06-12,2024-06-28,2024-06-30,18,2,0,2024
Supplier C,PART-0058,380.74,PO-405620,2024-09-10,2024-09-27,2024-10-01,21,4,0,2024
Supplier A,PART-0071,376.47,PO-405621,2024-08-08,2024-09-01,2024-09-02,25,1,0,2024
Supplier C,PART-0071,116.84,PO-405622,2025-07-05,2025-07-10,2025-07-05,0,-5,1,2025
Supplier B,PART-0014,377.21,PO-405623,2024-06-10,2024-07-01,2024-07-05,25,4,0,2024
Supplier C,PART-0045,348.8,PO-405624,2024-12-22,2025-01-03,2025-01-07,16,4,0,2024
Supplier B,PART-0068,319.54,PO-405625,2024-08-04,2024-08-23,2024-08-29,25,6,0,2024
Supplier A,PART-0043,206.82,PO-405626,2025-12-04,2025-12-15,2025-12-26,22,11,0,2025
Supplier C,PART-0055,267.5,PO-405627,2024-01-15,2024-02-06,2024-02-08,24,2,0,2024
Supplier A,PART-0080,296.97,PO-405628,2024-07-13,2024-07-29,2024-08-04,22,6,0,2024
Supplier C,PART-0034,210.97,PO-405629,2024-08-07,2024-08-22,2024-08-30,23,8,0,2024
Supplier C,PART-0058,285.56,PO-405630,2024-11-21,2024-12-01,2024-12-03,12,2,0,2024
Supplier C,PART-0081,122.06,PO-405631,2025-05-14,2025-05-20,2025-05-16,2,-4,1,2025
Supplier C,PART-0039,395.23,PO-405632,2025-06-18,2025-07-06,2025-07-09,21,3,0,2025
Supplier A,PART-0068,282.21,PO-405633,2025-05-12,2025-05-31,2025-06-03,22,3,0,2025
Supplier C,PART-0020,369.79,PO-405634,2025-11-18,2025-11-28,2025-12-03,15,5,0,2025
Supplier A,PART-0066,351.94,PO-405635,2025-12-21,2026-01-05,2026-01-20,30,15,0,2025
Supplier C,PART-0043,242.92,PO-405636,2024-10-08,2024-10-27,2024-11-03,26,7,0,2024
Supplier B,PART-0084,374.32,PO-405637,2024-08-20,2024-09-06,2024-09-12,23,6,0,2024
